@RELATION lol

@ATTRIBUTE match_id STRING
@ATTRIBUTE summoner_id STRING
@ATTRIBUTE champion_id STRING
@ATTRIBUTE tier {UNRANKED,BRONZE,SILVER,GOLD,PLATINUM,DIAMOND,MASTER}
@ATTRIBUTE lane {TOP,JUNGLE,MIDDLE,BOTTOM}
@ATTRIBUTE role {NONE,SOLO,DUO,DUO_CARRY,DUO_SUPPORT}
@ATTRIBUTE kills NUMERIC
@ATTRIBUTE deaths NUMERIC
@ATTRIBUTE assists NUMERIC
@ATTRIBUTE gold_earned NUMERIC
@ATTRIBUTE gold_spent NUMERIC
@ATTRIBUTE dmg NUMERIC
@ATTRIBUTE dmg_champs NUMERIC
@ATTRIBUTE dmg_taken NUMERIC
@ATTRIBUTE dmg_healed NUMERIC
@ATTRIBUTE cc NUMERIC
@ATTRIBUTE wards_placed NUMERIC
@ATTRIBUTE wards_killed NUMERIC
@ATTRIBUTE win {True,False}

@DATA
1866223347,45770461,412,SILVER,BOTTOM,DUO_SUPPORT,7,7,31,14374,13090,38732,14355,40668,1839,927,39,3,True
1866223347,45799017,105,GOLD,MIDDLE,SOLO,19,11,10,21389,25272,258487,39591,45110,7187,806,14,3,False
1866223347,39148049,35,GOLD,JUNGLE,NONE,11,14,10,19845,17960,320812,39125,49525,4917,1323,14,3,False
1866223347,44635325,25,SILVER,BOTTOM,DUO_SUPPORT,2,18,14,12740,13390,56548,13001,39443,815,228,23,2,False
1866223347,23245696,8,SILVER,TOP,SOLO,3,17,13,15095,14830,192872,35634,53891,15834,137,7,2,False
1866223347,38917627,222,SILVER,BOTTOM,DUO_CARRY,9,14,10,19391,17790,361367,47586,35470,5587,287,5,1,False
1854080063,33739304,122,SILVER,TOP,SOLO,9,4,7,13607,13655,158811,28916,30235,2869,488,6,6,False
1854080063,38917627,412,SILVER,BOTTOM,DUO_SUPPORT,0,8,10,7389,7250,22845,10492,24956,3840,194,20,1,False
1854080063,36457471,131,SILVER,JUNGLE,NONE,7,12,2,13942,12810,226758,17453,30147,1092,855,9,5,False
1854080063,28709545,3,UNRANKED,MIDDLE,SOLO,2,6,6,11212,10640,127643,13581,20577,3102,543,3,0,False
1854080063,45467655,67,SILVER,BOTTOM,DUO_CARRY,6,9,5,13564,12995,197397,15931,21377,3167,26,4,1,False
1854080063,36039614,266,SILVER,TOP,SOLO,5,4,6,15016,14035,236906,14532,28442,14233,551,12,1,True
1854080063,40790073,15,GOLD,BOTTOM,DUO_CARRY,12,6,13,15914,14040,213189,23078,21473,4130,200,9,2,True
1854080063,43182954,112,GOLD,MIDDLE,SOLO,4,7,12,12529,11045,137985,18843,19746,1348,21,7,0,True
1854080063,65829312,11,UNRANKED,JUNGLE,NONE,16,6,9,18812,16760,296131,32379,38391,8639,851,8,2,True
1854080063,48472972,12,SILVER,BOTTOM,DUO_SUPPORT,1,1,27,12215,10840,38136,10219,27805,8198,598,22,4,True
1854085586,65750673,111,UNRANKED,BOTTOM,DUO_SUPPORT,1,6,12,9480,8840,60234,8185,27134,2184,481,35,2,False
1854085586,51482324,55,BRONZE,MIDDLE,SOLO,7,5,7,12108,12345,130794,18986,18652,0,0,18,1,False
1854085586,38917627,245,SILVER,TOP,SOLO,4,7,4,12765,12425,198546,16569,25279,5727,683,9,0,False
1854085586,38713768,421,SILVER,JUNGLE,NONE,3,6,11,11780,11605,136320,10136,42659,12529,925,7,9,False
1854085586,45467655,81,SILVER,BOTTOM,DUO_CARRY,4,6,8,13893,12638,180331,18821,18178,2345,0,4,2,False
1854085586,34712614,92,UNRANKED,TOP,SOLO,8,6,6,18373,16760,315674,27117,24674,3564,196,11,2,True
1854085586,67319504,32,UNRANKED,JUNGLE,NONE,1,5,18,12885,11800,166714,14218,40186,6050,421,13,2,True
1854085586,243822,37,GOLD,BOTTOM,DUO_SUPPORT,4,1,15,12906,9606,29138,12457,9732,6465,156,26,4,True
1854085586,52782622,429,UNRANKED,BOTTOM,DUO_CARRY,6,3,9,16195,12775,261506,18924,16118,2934,296,9,1,True
1854085586,20026994,131,GOLD,MIDDLE,SOLO,11,4,13,16041,14630,206684,34815,20927,648,90,11,0,True
1855109898,64934385,43,UNRANKED,BOTTOM,DUO_SUPPORT,3,5,16,13643,12020,82440,31520,22558,3667,349,37,8,True
1855109898,31675134,28,SILVER,JUNGLE,NONE,11,9,14,14943,14255,126128,27762,38461,3788,841,12,1,True
1855109898,44267604,80,SILVER,MIDDLE,SOLO,10,10,5,14269,14548,136704,32673,40010,1362,52,9,0,True
1855109898,38917627,74,SILVER,TOP,SOLO,11,8,3,18435,16715,327477,87026,29531,5165,326,4,1,True
1855109898,29161764,119,SILVER,BOTTOM,DUO_CARRY,8,9,10,16437,15055,239868,35790,28264,1527,131,10,1,True
1855109898,49324609,150,SILVER,TOP,SOLO,12,3,23,17926,16885,242890,44365,62559,12077,16974,12,0,False
1855109898,40737723,105,SILVER,MIDDLE,SOLO,11,11,8,14303,14420,154848,25031,35434,1786,2483,7,0,False
1855109898,35700132,67,SILVER,BOTTOM,DUO_CARRY,10,8,11,17055,16290,246588,32392,36860,5752,1050,8,4,False
1855109898,26513570,113,GOLD,JUNGLE,NONE,6,7,16,15980,15375,238672,16056,65781,14692,11340,6,7,False
1855109898,23539502,412,SILVER,BOTTOM,DUO_SUPPORT,2,14,14,9628,9260,31224,9341,49155,1394,2592,22,1,False
1855131204,38917627,238,SILVER,MIDDLE,SOLO,10,6,8,13292,13120,156768,19865,17690,2595,266,4,0,True
1855131204,30729907,412,GOLD,BOTTOM,DUO_SUPPORT,5,0,25,10423,9255,32360,13913,15729,1830,261,21,2,True
1855131204,43032280,236,BRONZE,BOTTOM,DUO_CARRY,14,3,10,12872,10582,145861,27563,17493,1769,0,7,1,True
1855131204,21126038,106,SILVER,JUNGLE,NONE,8,6,19,13202,10455,153114,18206,32826,2391,1575,9,1,True
1855131204,32250671,68,GOLD,TOP,SOLO,5,2,11,9918,8455,102997,18430,17207,342,404,4,0,True
1855131204,30137590,222,GOLD,BOTTOM,DUO_CARRY,1,9,5,8822,8170,114156,17229,25095,266,78,4,0,False
1855131204,37102593,37,GOLD,BOTTOM,DUO_SUPPORT,1,10,4,7410,6475,20397,10007,20538,4908,273,18,2,False
1855131204,61234401,14,UNRANKED,TOP,SOLO,2,6,2,7204,7295,81697,12500,23683,11785,1089,8,0,False
1855131204,39999711,5,GOLD,JUNGLE,NONE,5,7,3,8957,8015,102590,13927,31797,7442,859,5,0,False
1855131204,51134435,131,UNRANKED,MIDDLE,SOLO,8,10,2,9590,9635,94638,17425,20698,0,92,3,0,False
1855530685,23666006,67,SILVER,BOTTOM,DUO_CARRY,8,8,6,12316,11150,134128,15598,20554,3406,125,1,1,True
1855530685,51626850,268,GOLD,TOP,SOLO,11,6,9,12672,11030,153194,25890,17257,1591,146,12,1,True
1855530685,49019403,89,SILVER,BOTTOM,DUO_SUPPORT,3,8,20,9575,8325,32558,10291,24770,3190,98,15,0,True
1855530685,19011388,82,SILVER,MIDDLE,SOLO,11,1,11,14160,12250,193798,35013,11363,2375,294,9,2,True
1855530685,19168987,32,SILVER,JUNGLE,NONE,2,4,15,11211,11180,124285,12767,31457,2757,353,7,2,True
1855530685,42229487,254,SILVER,JUNGLE,NONE,7,4,7,10989,10955,127628,14464,25053,1557,552,6,2,False
1855530685,38917627,122,SILVER,JUNGLE,NONE,3,10,4,8246,9267,78309,9519,26913,1473,121,2,0,False
